time,id,url,kind,label,reason,text
2024-11-10T12:32:20.759000Z,1855589307550986263,https://x.com/saylor/status/1855589307550986263,hint_yes_strong,强买入暗示,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,I think https://t.co/meaZhpFNq9 needs more green dots. pic.twitter.com/faeNCKAvNQ
2024-11-11T13:03:31.890000Z,1855959543508828428,https://x.com/saylor/status/1855959543508828428,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 27,200 BTC for ~$2.03 billion at ~$74,463 per #bitcoin and has achieved BTC Yield of 7.3% QTD and 26.4% YTD. As of 11/10/2024, we hodl 279,420 $BTC acquired for ~$11.9 billion at ~$42,692 per bitcoin. $MSTR https://t.co/uCt8nNUVqd"
2024-11-15T16:23:30.762000Z,1857459421888086349,https://x.com/saylor/status/1857459421888086349,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,"Sell the Past, ₿uy the Future https://t.co/46RHg0xyyE"
2024-11-17T13:01:43.505000Z,1858133416102723888,https://x.com/saylor/status/1858133416102723888,hint_yes_strong,强买入暗示,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,I think https://t.co/meaZhpFNq9 needs even more green dots. pic.twitter.com/Rs5hgrnbAm
2024-11-18T13:03:05.058000Z,1858496146026467378,https://x.com/saylor/status/1858496146026467378,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 51,780 BTC for ~$4.6 billion at ~$88,627 per #bitcoin and has achieved BTC Yield of 20.4% QTD and 41.8% YTD. As of 11/17/2024, we hodl 331,200 $BTC acquired for ~$16.5 billion at ~$49,874 per bitcoin. $MSTR https://t.co/SRRtRrB2jO"
2024-11-21T15:17:16.110000Z,1859617078182867169,https://x.com/saylor/status/1859617078182867169,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,Sell the Past. ₿uy the Future. https://t.co/nJQtTBP4lj
2024-11-24T13:01:13.810000Z,1860670006612095133,https://x.com/saylor/status/1860670006612095133,hint_yes_strong,强买入暗示,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,We need more green dots on https://t.co/Bx3917zeAK . pic.twitter.com/0VCrBs9oUa
2024-11-25T13:04:52.072000Z,1861033309934862601,https://x.com/saylor/status/1861033309934862601,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 55,500 BTC for ~$5.4 billion at ~$97,862 per #bitcoin and has achieved BTC Yield of 35.2% QTD and 59.3% YTD. As of 11/24/2024, we hodl 386,700 $BTC acquired for ~$21.9 billion at ~$56,761 per bitcoin. $MSTR https://t.co/79ExzXk4UM"
2024-12-01T13:01:10.638000Z,1863206708366995675,https://x.com/saylor/status/1863206708366995675,hint_yes_strong,强买入暗示,SaylorTracker 图表暗示：blue-green imbalance，语义是图上缺新增买入点,A possible blue-green imbalance on https://t.co/Bx3917zeAK ? pic.twitter.com/qXMJDEJQzD
2024-12-02T13:04:16.004000Z,1863569873713955156,https://x.com/saylor/status/1863569873713955156,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 15,400 BTC for ~$1.5 billion at ~$95,976 per #bitcoin and has achieved BTC Yield of 38.7% QTD and 63.3% YTD. As of 12/2/2024, we hodl 402,100 $BTC acquired for ~$23.4 billion at ~$58,263 per bitcoin. $MSTR https://t.co/K3TK4msGp0"
2024-12-08T13:01:38.263000Z,1865743539293802849,https://x.com/saylor/status/1865743539293802849,hint_yes_strong,强买入暗示,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,Still too much blue on https://t.co/Bx3917zeAK . pic.twitter.com/Ag6uhXUyqD
2024-12-09T12:08:00.777000Z,1866092432045306008,https://x.com/saylor/status/1866092432045306008,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,$RIOT is a company on the #Bitcoin Standard. https://t.co/qRJ3JIc0BU
2024-12-09T13:04:39.590000Z,1866106687699964016,https://x.com/saylor/status/1866106687699964016,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 21,550 BTC for ~$2.1 billion at ~$98,783 per #bitcoin and has achieved BTC Yield of 43.2% QTD and 68.7% YTD. As of 12/8/2024, we hodl 423,650 $BTC acquired for ~$25.6 billion at ~$60,324 per bitcoin. $MSTR https://t.co/8r7bFqMFof"
2024-12-10T01:01:30.002000Z,1866287086443077661,https://x.com/saylor/status/1866287086443077661,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,Sell the Past. ₿uy the Future. pic.twitter.com/4P6pyYzliV
2024-12-10T22:39:20.597000Z,1866613699391394043,https://x.com/saylor/status/1866613699391394043,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,"Keep stacking, Fred. 💪"
2024-12-15T12:50:09.680000Z,1868277366226841996,https://x.com/saylor/status/1868277366226841996,hint_yes_strong,强买入暗示,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,Is https://t.co/Bx3917zMqi missing a green dot? pic.twitter.com/B3Zzd6M1uV
2024-12-16T13:03:55.768000Z,1868643218956734876,https://x.com/saylor/status/1868643218956734876,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 15,350 BTC for ~$1.5 billion at ~$100,386 per #bitcoin and has achieved BTC Yield of 46.4% QTD and 72.4% YTD. As of 12/15/2024, we hodl 439,000 $BTC acquired for ~$27.1 billion at ~$61,725 per bitcoin. $MSTR https://t.co/SaWLNBVkrl"
2024-12-22T12:38:52.352000Z,1870811240366219711,https://x.com/saylor/status/1870811240366219711,hint_yes_strong,强买入暗示,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,The orange dots on https://t.co/Bx3917zeAK are motivational. pic.twitter.com/oxtxuJLEpg
2024-12-23T13:03:44.329000Z,1871179886036910278,https://x.com/saylor/status/1871179886036910278,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 5,262 BTC for ~$561 million at ~$106,662 per bitcoin and has achieved BTC Yield of 47.4% QTD and 73.7% YTD. As of 12/22/2024, we hodl 444,262 $BTC acquired for ~$27.7 billion at ~$62,257 per bitcoin. $MSTR https://t.co/asDGerBV7q"
2024-12-23T21:38:20.340000Z,1871309389413724620,https://x.com/saylor/status/1871309389413724620,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,"If you are not buying bitcoin at the top, you are leaving money on the table."
2024-12-28T13:36:52.038000Z,1873000162421031279,https://x.com/saylor/status/1873000162421031279,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,This is why we need less government and more bitcoin.
2024-12-29T13:01:32.795000Z,1873353661537284211,https://x.com/saylor/status/1873353661537284211,hint_yes_strong,强买入暗示,SaylorTracker 图表暗示：disconcerting blue lines，语义是当前图形不应只有蓝线/缺新增点,Disconcerting blue lines on https://t.co/Bx3917zMqi . pic.twitter.com/xPl4GTKU3E
2024-12-30T13:03:04.471000Z,1873716433919803868,https://x.com/saylor/status/1873716433919803868,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 2,138 BTC for ~$209 million at ~$97,837 per bitcoin and has achieved BTC Yield of 47.8% QTD and 74.1% YTD. As of 12/29/2024, we hodl 446,400 $BTC acquired for ~$27.9 billion at ~$62,428 per bitcoin. $MSTR https://t.co/58aXM7g6u2"
2025-01-01T19:15:43.254000Z,1874534989184041438,https://x.com/saylor/status/1874534989184041438,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,Will you end 2025 with more Bitcoin than you started with?
2025-01-05T14:13:21.992000Z,1875908450678722991,https://x.com/saylor/status/1875908450678722991,hint_yes_strong,强买入暗示,SaylorTracker 图表暗示：not quite right，随后价格从急跌区间快速回拉，语义是图上未反映新增买入,Something about https://t.co/Bx3917zMqi is not quite right. pic.twitter.com/vRTAH2xTCX
2025-01-06T13:03:11.414000Z,1876253178100117907,https://x.com/saylor/status/1876253178100117907,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 1,070 BTC for ~$101 million at ~$94,004 per bitcoin and has achieved BTC Yield of 48.0% in Q4 2024 and 74.3% in FY 2024. As of 01/05/2025, we hodl 447,470 $BTC acquired for ~$27.97 billion at ~$62,503 per bitcoin. $MSTR https://t.co/CkLrLSkB5M"
2025-01-10T13:07:08.311000Z,1877703723180347688,https://x.com/saylor/status/1877703723180347688,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,₿uy the Future pic.twitter.com/QcYpsPRoMl
2025-01-12T13:02:23.392000Z,1878427303874633866,https://x.com/saylor/status/1878427303874633866,hint_yes_strong,强买入暗示,语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,Thinking about the next green dot on https://t.co/Bx3917zeAK . pic.twitter.com/dCIhEzRLuW
2025-01-13T13:02:34.593000Z,1878789738720805176,https://x.com/saylor/status/1878789738720805176,confirm_yes,官方确认买入,Saylor/Strategy 明确披露买入或未买入，是最终确认信号,"MicroStrategy has acquired 2,530 BTC for ~$243 million at ~$95,972 per bitcoin and has achieved BTC Yield of 0.32% YTD 2025. As of 1/12/2025, we hodl 450,000 $BTC acquired for ~$28.2 billion at ~$62,691 per bitcoin. $MSTR https://t.co/qONdrIwz7Q"
2025-01-18T21:02:13.951000Z,1880722387425275993,https://x.com/saylor/status/1880722387425275993,hint_yes_weak,弱买入暗示,泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,France could use more Bitcoin. https://t.co/hHBWzUXjVP
